artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Born Ruffians,4kt8Z0jxgclmzE1QJvzQqr,Forget Me,0.172,0.6509999999999999,216389,0.6709999999999999,0.315,0,0.0972,-5.3229999999999995,1,0.0282,130.076,4,0.196,40
Sophia Scott,0waP50c1rVWjkMc4Ja8Qks,She Ain't Me,0.184,0.366,196411,0.634,0.0,2,0.177,-5.023,1,0.044,77.97800000000001,4,0.1939999999999999,63
Vic Mensa,7rY1py6YVjgxYPYTi5z460,Dark Things,0.00893,0.5720000000000001,192467,0.5770000000000001,0.0,10,0.166,-6.044,0,0.135,161.905,4,0.25,53
Portugal. The Man,076HfOLxa8acoaBXZ6nW76,Live In The Moment - TOKiMONSTA Remix,0.00213,0.665,195246,0.759,0.0375,1,0.151,-7.159,0,0.0313,114.984,4,0.0891,35
Royal Philharmonic Orchestra,7euFHySr9inNEjzFAOJvXt,Oh Pretty Woman,0.74,0.5870000000000001,253771,0.47,0.938,0,0.0344,-13.898,1,0.0307,127.796,4,0.5379999999999999,19
Ingrid Michaelson,769Li3KU3TcnWxKvVjkl7e,"Happy, Happy Christmas",0.914,0.185,205413,0.2339999999999999,5.86e-06,7,0.0978,-10.1,1,0.0315,75.32600000000001,1,0.209,23
Steven C,09oKw3Is0wWV0YP32jOUSi,Everlasting God (Instrumental Version),0.406,0.792,159608,0.303,0.8490000000000001,10,0.115,-16.121,1,0.0414,108.063,4,0.386,16
Steffany Gretzinger,0wyY82nPehpvB6nf8FbZLH,Oxygen,0.963,0.283,302667,0.1119999999999999,2.76e-06,7,0.368,-14.162,1,0.0333,141.38,3,0.0794,49
Tedashii,3GpFIYP5YzTr4c0djAzFlu,Splash,0.0654,0.875,216053,0.573,3.34e-05,8,0.118,-5.53,1,0.4,155.05100000000002,4,0.447,42
Johann Sebastian Bach,5xVcnhVL0AwcOgbpuxTu6W,"Widerstehe doch der Sünde, BWV 54 (Transcr. by Víkingur Ólafsson)",0.995,0.42,266213,0.0876,0.9,3,0.102,-28.052,1,0.0425,82.49600000000001,4,0.278,35
Las Trampas Ridge,5Cft2NIQQoGtouOuOkMK3t,Peace That Passes Understanding,0.8809999999999999,0.355,100026,0.302,0.478,2,0.108,-14.994000000000002,1,0.0294,96.847,4,0.5,27
CAZZETTE,43ZeyBuql1TboyWE3ElHXj,In Time,0.111,0.6509999999999999,191954,0.711,6.13e-05,3,0.0488,-5.062,0,0.0378,125.089,4,0.425,54
Bryant Myers,5MNS5FF4LrTX0jIaI0gory,Triste,0.4029999999999999,0.693,264906,0.7240000000000001,0.0,9,0.0978,-5.379,1,0.109,130.05,4,0.263,73
Kavv,4SPUVPV2Db8B5xDaFWg9rD,Now That You're Gone,0.935,0.8190000000000001,120004,0.289,0.918,5,0.1009999999999999,-9.791,0,0.417,85.02,4,0.371,64
